,latitude,location,longitude,shop,country
0,1.450008617,Admiralty Drive,103.8141109,Giant Hypermart,Singapore
1,1.440585001,Woodlands Avenue 7,103.800988,Giant Hypermart,Singapore
2,1.374164454,Ang Mo Kio Avenue 4,103.8395491,Giant Hypermart,Singapore
3,1.364625403,Ang Mo Kio Street 31,103.847677,Giant Hypermart,Singapore
4,1.372626669,Ang Mo Kio Avenue 10,103.8539767,Giant Hypermart,Singapore
5,1.379047759,Bangkit Road,103.773004,Giant Hypermart,Singapore
6,1.342395088,Upper Bukit Timah Road,103.7764683,Giant Hypermart,Singapore
7,1.331436231,Bedok Road,103.9482603,Giant Hypermart,Singapore
8,1.333175419,Bedok North Street 3,103.931265,Giant Hypermart,Singapore
9,1.332959236,Bedok Reservoir Road,103.9149418,Giant Hypermart,Singapore
10,1.34962235,Bishan Street 13,103.8498817,Giant Hypermart,Singapore
11,1.380850355,Buangkok Crescent,103.8793091,Giant Hypermart,Singapore
12,1.346699052,Bukit Batok East Avenue 3,103.7572767,Giant Hypermart,Singapore
13,1.358317052,Bukit Batok Street 31,103.7495799,Giant Hypermart,Singapore
14,1.381877713,Compassvale Bow,103.8970399,Giant Hypermart,Singapore
15,1.40566048,Edgefield Plains,103.9119913,Giant Hypermart,Singapore
16,1.383580203,Fajar Road,103.7707748,Giant Hypermart,Singapore
17,1.310103026,Ghim Moh Road,103.788546,Giant Hypermart,Singapore
18,1.385405693,Jelapang Road,103.7662285,Giant Hypermart,Singapore
19,1.373312701,Hougang Avenue 8,103.8863678,Giant Hypermart,Singapore
20,1.379317835,Hougang Street 51,103.8878471,Giant Hypermart,Singapore
21,1.334875319,Jurong East Street 21,103.7468947,Giant Hypermart,Singapore
22,1.282634376,Jalan Membina,103.8255958,Giant Hypermart,Singapore
23,1.309822265,Joo Chiat Road,103.9022325,Giant Hypermart,Singapore
24,1.349945436,Jurong West Street 41,103.7251805,Giant Hypermart,Singapore
25,1.329871172,Ubi Avenue 1,103.9019304,Giant Hypermart,Singapore
26,1.41738337,Yishun Avenue 2,103.8329799,Giant Hypermart,Singapore
27,1.332112774,Kim Keat Avenue,103.8573781,Giant Hypermart,Singapore
28,1.36645364,Pasir Ris Street 21,103.9645985,Giant Hypermart,Singapore
29,1.305605694,Marine Terrace,103.9153761,Giant Hypermart,Singapore
30,1.348133789,Students Walk,103.6854185,Giant Hypermart,Singapore
31,1.301263872,Marine Parade Road,103.9051328,Giant Hypermart,Singapore
32,1.369008093,Pasir Ris Drive 4,103.9586966,Giant Hypermart,Singapore
33,1.374611175,Pasir Ris Street 71,103.9371758,Giant Hypermart,Singapore
34,1.31881487,Paya Lebar Road,103.8925808,Giant Hypermart,Singapore
35,1.341591087,Jurong West Street 61,103.6970201,Giant Hypermart,Singapore
36,1.40053115,Punggol Central,103.9105369,Giant Hypermart,Singapore
37,1.286920062,Redhill Close,103.8186736,Giant Hypermart,Singapore
38,1.452387573,Sembawang Drive,103.8174401,Giant Hypermart,Singapore
39,1.441767152,Sembawang Road,103.8244951,Giant Hypermart,Singapore
40,1.353231639,Serangoon Central Drive,103.8714729,Giant Hypermart,Singapore
41,1.377897277,Choa Chu Kang Avenue 3,103.7390155,Giant Hypermart,Singapore
42,1.294324165,Temasek Boulevard,103.860372,Giant Hypermart,Singapore
43,1.372224562,Tampines North Drive 2,103.9320462,Giant Hypermart,Singapore
44,1.349224196,Tampines Street 81,103.9349125,Giant Hypermart,Singapore
45,1.354593929,Tampines Street 32,103.9601535,Giant Hypermart,Singapore
46,1.277795391,Telok Blangah Crescent,103.8193413,Giant Hypermart,Singapore
47,1.333622326,Lorong 4 Toa Payoh,103.8509779,Giant Hypermart,Singapore
48,1.430840068,Woodlands Drive 44,103.7934163,Giant Hypermart,Singapore
49,1.445622899,Woodlands Avenue 6,103.798141,Giant Hypermart,Singapore
50,1.442835921,Woodlands Street 82,103.7907708,Giant Hypermart,Singapore
51,1.430618304,Yishun Avenue 5,103.828763,Giant Hypermart,Singapore
52,1.436114254,Yishun Street 22,103.8376052,Giant Hypermart,Singapore
53,1.424899319,Yishun Avenue 11,103.8472498,Giant Hypermart,Singapore
54,1.319436174,Bukit Timah Road,103.8273458,Cold Storage,Singapore
55,1.274617941,Enggor Street,103.8443196,Cold Storage,Singapore
56,1.30974242,Kallang Avenue,103.8641017,Cold Storage,Singapore
57,1.300117893,Victoria Street,103.8561916,Cold Storage,Singapore
58,1.435927026,Woodlands Square,103.7860475,Cold Storage,Singapore
59,1.301514467,Orchard Road,103.8400544,Cold Storage,Singapore
60,1.307622826,Orchard Road,103.8285904,Cold Storage,Singapore
61,1.323552869,Sunset Way,103.7675155,Cold Storage,Singapore
62,1.322573169,Bukit Timah Road,103.8142455,Cold Storage,Singapore
63,1.392094156,Sengkang Square,103.89498,Cold Storage,Singapore
64,1.331775815,Upper Changi Road,103.9462012,Cold Storage,Singapore
65,1.321447681,Eastwood Road,103.9554195,Cold Storage,Singapore
66,1.299150165,Fusionopolis Way,103.7875812,Cold Storage,Singapore
67,1.293526325,Kim Seng Promenade,103.8320712,Cold Storage,Singapore
68,1.387603302,Seletar Road,103.8694236,Cold Storage,Singapore
69,1.331491466,Greenwood Avenue,103.8068093,Cold Storage,Singapore
70,1.330873866,Fifth Avenue,103.7957003,Cold Storage,Singapore
71,1.264478445,Maritime Square,103.8203152,Cold Storage,Singapore
72,1.363550958,Hillview Rise,103.7642361,Cold Storage,Singapore
73,1.310255419,Holland Avenue,103.7953504,Cold Storage,Singapore
74,1.359544509,Hougang Street 21,103.8851691,Cold Storage,Singapore
75,1.304098062,Orchard Turn,103.8315921,Cold Storage,Singapore
76,1.247758615,Ocean Way,103.8419211,Cold Storage,Singapore
77,1.279724915,Marina Boulevard,103.8545488,Cold Storage,Singapore
78,1.283558721,Bayfront Avenue,103.8585057,Cold Storage,Singapore
79,1.317561967,Holland Road,103.7858406,Cold Storage,Singapore
80,1.302337453,Stadium Walk,103.8764492,Cold Storage,Singapore
81,1.305086818,East Coast Road,103.9050989,Cold Storage,Singapore
82,1.277526289,Straits View,103.8529353,Cold Storage,Singapore
83,1.429698486,Yishun Avenue 2,103.8357765,Cold Storage,Singapore
84,1.320211007,Thomson Road,103.8436568,Cold Storage,Singapore
